titolo,n_char,frasi_1k,righe_corte,len_token,kgram,n_grezzo,abbastanza_lungo,prosa,ammesso
Genghis Khan,4626,7.349762213575443,0.0,5.256373937677054,0.9883040935672515,65183,False,True,False
Julius Caesar,62850,6.746221161495624,0.15151515151515152,5.077176517571885,0.9260037236835824,64671,True,True,True
Alexander the Great,87309,6.814875900537173,0.020689655172413793,5.144173559715571,0.9021305841924399,89388,True,True,True
Leonardo da Vinci,56384,6.473467650397276,0.0,4.97166392092257,0.93034269902086,58029,True,True,True
William Shakespeare,44037,7.28932488589141,0.0,5.123092573753815,0.9246388661760698,46157,False,True,False
Wolfgang Amadeus Mozart,50130,7.8196688609615,0.06930693069306931,5.01433962264151,0.9452923924103669,52625,True,True,True
Ludwig van Beethoven,64769,8.152048047677129,0.020833333333333332,5.036349346694174,0.9159216194932135,66190,True,True,True
Pablo Picasso,51476,8.100862537881731,0.05042016806722689,4.990221562074514,0.9333177896945675,56529,True,True,True
Vincent van Gogh,63005,8.078723910800731,0.0,4.834511474774862,0.928234677841802,64376,True,True,True
Elizabeth II,54990,7.29223495180942,0.0,5.07493629835534,0.9154253287499318,56471,True,True,True
Barack Obama,70870,7.3373782982926485,0.018018018018018018,5.12505717683652,0.9077476714648602,74449,True,True,True
Karl Marx,81786,6.211332012813929,0.07377049180327869,5.225859892710634,0.9009868300377857,84782,True,True,True
Sigmund Freud,101984,6.569657985566363,0.27155172413793105,5.350071736011477,0.8939162155801365,105664,True,True,True
Christianity,98977,6.072117764733221,0.03977272727272727,5.462385197190708,0.853496620085483,100836,True,True,True
Islam,66219,7.067457980337969,0.0,5.1888125423400755,0.9267784322609878,68153,True,True,True
Buddhism,90794,6.6854637971672135,0.03626943005181347,5.336393205637875,0.879518868548014,93632,True,True,True
Hinduism,83589,6.759262582397206,0.05063291139240506,5.284867856864427,0.8969490308686289,85261,True,True,True
Judaism,98286,6.521783366908817,0.16593886462882096,5.123771975180972,0.8909917885161329,106212,True,True,True
Catholic Church,82107,5.870388639214683,0.0,5.227900769351547,0.8736388218957831,84451,True,True,True
Protestantism,109219,6.418297182724618,0.05181347150259067,5.561514587212911,0.8504244155701454,113890,True,True,True
Philosophy,42100,8.24228028503563,0.0,5.5286350620426346,0.8704205274411975,43049,False,True,False
Science,47384,6.394563565760595,0.012195121951219513,5.699099622422306,0.90919452887538,48318,False,True,False
Mathematics,55563,6.857081151125749,0.3142857142857143,5.628319682303301,0.8723944270439572,56895,True,True,True
Physics,34020,6.466784244562023,0.14285714285714285,5.539751430262379,0.9027961541854106,36292,False,True,False
Chemistry,41896,6.802558716822609,0.12745098039215685,5.3234148621280575,0.885116745451941,44656,False,True,False
Biology,10514,6.657789613848203,0.0,5.7114493712773,0.9480296973158195,11592,False,True,False
Astronomy,27514,7.378062077487824,0.0,5.535740604274134,0.9155759162303665,29783,False,True,False
Geology,40273,6.778735132719191,0.3684210526315789,5.420101822959435,0.9087251322554206,41955,False,True,False
Medicine,55737,6.620377845955111,0.20574162679425836,5.739022266451051,0.8945951765719208,56305,True,True,True
Evolution,67012,6.730137885751805,0.0,5.511926058437687,0.8727052923793319,69691,True,True,True
Genetics,40454,7.069758243931378,0.0,5.386220281416788,0.9072837857884587,41448,False,True,False
Quantum mechanics,66402,4.005903436643474,0.9121236777868186,5.074162679425838,0.6515747142017984,76982,True,False,False
Theory of relativity,12952,7.180358245830759,0.13513513513513514,5.5563122053431115,0.9170143718127028,13460,False,True,False
Climate change,62545,7.866336237908706,0.009523809523809525,5.411362665527553,0.8887982729671384,64331,True,True,True
Universe,47798,6.632076655927026,0.20388349514563106,5.212719891745603,0.875894538606403,50254,False,True,False
Earth,57056,7.203449242849131,0.0,5.1430355318424334,0.9026083298275137,58464,True,True,True
Moon,87439,6.987728587929871,0.025380710659898477,4.968582265798325,0.8807603884294685,89893,True,True,True
Sun,60863,6.950035325238651,0.17886178861788618,4.918194930970533,0.884988908060143,63135,True,True,True
Solar System,60021,7.530697589177121,0.015384615384615385,5.015336134453782,0.8652769446110777,61733,True,True,True
Human,61694,7.456154569326029,0.021052631578947368,5.3842269259697,0.915815582141815,62574,True,True,True
Brain,71346,6.307291228660332,0.009259259259259259,5.335941053397617,0.8822490432734766,72294,True,True,True
Language,81374,6.1936244992257965,0.018018018018018018,5.287951041169925,0.854877958852592,85364,True,True,True
Music,77861,6.729941819396103,0.043859649122807015,5.226746110559417,0.8909868598512581,79752,True,True,True
Literature,31462,7.2150530799059185,0.0,5.231103748188031,0.9420068676077833,32630,False,True,False
Art,56700,6.807760141093475,0.0,5.0588235294117645,0.9317351960628671,60951,True,True,True
Architecture,32838,6.303672574456423,0.12162162162162163,5.769670050761421,0.9047793109750526,34599,False,True,False
History,51543,7.1590710668762005,0.0,5.757579822913872,0.8672720922109676,52315,True,True,True
Economics,68902,6.632608632550579,0.00684931506849315,5.525602262752365,0.8853858212854904,71544,True,True,True
Capitalism,53202,6.0336077591068005,0.12121212121212122,5.465465465465465,0.8848908690993176,54379,True,True,True
Socialism,90101,5.604821256145881,0.015748031496062992,5.640475829671162,0.8554826679098265,91680,True,True,True
Democracy,78466,6.512374786531746,0.07865168539325842,5.514816718054128,0.8808504129703273,81810,True,True,True
Law,52450,7.378455672068637,0.05952380952380952,5.236100906196424,0.9326086956521739,54705,True,True,True
War,39621,6.966002877262058,0.09615384615384616,5.276391871799108,0.9501666161769161,40596,False,True,False
Slavery,103574,6.855002220634522,0.010362694300518135,5.155785149685691,0.8842477260877122,114928,True,True,True
Colonialism,60252,6.207262829449645,0.009708737864077669,5.5749549143372406,0.8976146606244709,66580,True,True,True
New York City,92628,6.844582631601676,0.0,5.118940564844738,0.8546626502121595,95959,True,True,True
London,58055,8.336921884419947,0.00909090909090909,5.125209801946962,0.9057315623546437,59904,True,True,True
Paris,86663,7.004142482951202,0.011904761904761904,5.159473243510695,0.8944088627315215,88408,True,True,True
Rome,82343,6.897975541333204,0.046875,4.961085626911315,0.9048642740025505,83600,True,True,True
Beijing,86371,6.587859350939551,0.05357142857142857,5.17681713848508,0.8748740751033453,88480,True,True,True
Moscow,96849,7.4652293776910446,0.15139442231075698,5.16912062677293,0.8983890954151177,100051,True,True,True
Tokyo,71501,6.559348820296219,0.09836065573770492,5.089917506874428,0.8964793756032059,74692,True,True,True
Delhi,51219,7.399597805501864,0.043478260869565216,5.1055174167302315,0.9136496777973052,52323,True,True,True
Istanbul,88144,6.387275367580323,0.007462686567164179,5.272603670972128,0.8849479202124039,89777,True,True,True
Cairo,68038,6.5698580205179455,0.37142857142857144,5.06006006006006,0.9154612806491444,70320,True,True,True
Internet,51213,6.3265186573721515,0.017857142857142856,5.461109636315371,0.896472931802203,53757,True,True,True
Computer,54662,7.079872672057371,0.48186528497409326,5.252614068441065,0.8966955758041497,56084,True,False,False
Artificial intelligence,84851,7.071218960295106,0.1073170731707317,5.419266127131296,0.9091262685195007,87181,True,True,True
Television,81897,7.253012930876589,0.11363636363636363,5.3414554641023555,0.8800923212192263,84485,True,True,True
Film,50803,6.712202035312875,0.0,5.177999243093225,0.9318410017128345,52446,True,True,True
Photography,44228,6.89608392873293,0.019417475728155338,5.403324846487943,0.9147218453188602,48395,False,True,False
Printing press,33603,7.291015683123531,0.020833333333333332,5.348695822710336,0.946508305054474,44647,False,True,False
Agriculture,67512,6.739542599834103,0.008928571428571428,5.648756934456544,0.8843162526109951,72000,True,True,True
Railway,60775,7.4866310160427805,0.017094017094017096,5.299321193836871,0.9209577882004444,63482,True,True,True
Automobile,34151,7.1447395391057364,0.0,5.248557137360523,0.9400755645373868,36775,False,True,False
Aviation,24593,6.70922620257797,0.24050632911392406,5.60078607523863,0.9393532641854789,25585,False,True,False
Space exploration,41803,7.009066334952037,0.011494252873563218,5.165763813651138,0.9118512669585815,44495,False,True,False
Apollo program,62444,7.0943565434629425,0.057971014492753624,5.014675907052589,0.8935710167211224,65507,True,True,True
Nuclear weapon,54719,6.1039127177031745,0.0,5.358524788391778,0.8904973405713659,57175,True,True,True
Antibiotic,47686,7.0041521620601435,0.012987012987012988,5.8608476585655005,0.8671658696199346,48699,False,True,False
Vaccine,50271,6.683773945216925,0.06611570247933884,5.596593213464918,0.9021726154948072,52069,True,True,True
DNA,56993,7.158773884512133,0.23214285714285715,5.26552583862194,0.8889181363516715,59315,True,True,True
Cancer,73523,8.20151517212301,0.15454545454545454,5.392866817155756,0.883166700673332,75552,True,True,True
Pandemic,29648,6.307339449541284,0.14666666666666667,5.412615871580376,0.9256072874493927,30670,False,True,False
Africa,75723,6.536983479259934,0.02727272727272727,5.332107521232817,0.9042317140819399,79612,True,True,True
Europe,80876,6.862357188782828,0.029850746268656716,5.179538375529111,0.8865929663154771,83466,True,True,True
Asia,41293,6.5870728694936185,0.07792207792207792,5.089095127610209,0.9215173315892741,44993,False,True,False
South America,80498,6.41009714527069,0.028089887640449437,5.228637034607184,0.8595974655236676,82370,True,True,True
Antarctica,42759,7.273322575364251,0.038461538461538464,5.216738197424893,0.9070877192982456,44689,False,True,False
Ocean,56079,7.917402236131172,0.05357142857142857,5.036106750392465,0.8872124130551097,57908,True,True,True
Amazon rainforest,33819,7.1853100328217865,0.013888888888888888,5.275923016496465,0.901153504880213,34428,False,True,False
Himalayas,35845,7.309248151764542,0.018867924528301886,5.066619668664082,0.9104227710339055,42838,False,True,False
Football,63140,7.586316122901489,0.3923076923076923,4.996612533625585,0.8839574225432427,65494,True,True,True
Olympic Games,84208,6.745202356070682,0.017094017094017096,5.1221705662678145,0.8632152782726431,85916,True,True,True
Chess,79598,7.437372798311515,0.10526315789473684,4.964631480324797,0.9110441010177158,83152,True,True,True
Wikipedia,89240,6.443298969072165,0.03355704697986577,5.419777242624924,0.8842119419042496,91659,True,True,True
Steve Jobs,73100,8.440492476060191,0.05,4.879244643915658,0.9324413068461664,75812,True,True,True
Henry Ford,57230,8.387209505504106,0.0423728813559322,4.97465843984134,0.9430638565586662,58656,True,True,True
Scientific method,74530,6.829464645109352,0.05732484076433121,5.481160714285714,0.8876409017713366,77864,True,True,True
