corpus,titolo,sequenza,tipo,n_eventi,gamma,gamma_A1,gamma_A2,cv_tau
wikipedia,Industrial Revolution,to,funzione,276,0.9911276827747946,0.9479688334297878,0.9717721679502831,0.9246037615057879
wikipedia,Industrial Revolution,was,funzione,228,1.1751838763980615,0.9879702304160755,1.1034360616915382,1.167043810675448
wikipedia,Industrial Revolution,industrial,keyword,93,1.233955641667151,0.9679178042828589,1.113285994020546,1.1919440885953025
wikipedia,Industrial Revolution,revolution,keyword,63,1.1773736391155087,0.9919188063382287,1.1120728448682895,1.211132760635253
wikipedia,Industrial Revolution,iron,keyword,64,1.5797603408879062,0.9247136447844001,1.3830972700704336,2.5910946816738742
wikipedia,Industrial Revolution,cotton,keyword,57,1.625512779730126,0.9441541973536136,1.574969492064399,3.9641997982906942
wikipedia,Industrial Revolution,century,keyword,57,1.0067031030609885,0.9917972299053112,1.0049999792847792,1.0172032748699418
wikipedia,Industrial Revolution,first,keyword,48,1.1267106443226393,0.9306024348915344,1.1435857526503266,1.1894679833887056
wikipedia,Industrial Revolution,production,keyword,41,1.1838441402968818,1.0092870874870614,1.1746811176282284,1.553794501788544
wikipedia,Industrial Revolution,as,appaiata,98,1.04707440508415,1.066022147670358,1.0920722127927043,1.1942378776038716
wikipedia,Industrial Revolution,from,appaiata,56,1.0473321284496573,1.050005125775613,1.04434584102608,1.1646000642883367
wikipedia,Industrial Revolution,on,appaiata,55,1.0457416199608816,0.9694569936042736,1.0686337891137354,1.010077456312326
wikipedia,Industrial Revolution,which,appaiata,54,1.0496186392793265,1.0272328399698223,1.0439764088923948,0.9218138798816363
wikipedia,Industrial Revolution,had,appaiata,50,1.0513683483817517,0.8998820163212743,1.0114820501887172,1.0109419381221505
wikipedia,Industrial Revolution,that,appaiata,47,0.9478805329228519,0.9914367137445087,0.9356885170614965,0.7873143255936517
wikipedia,Industrial Revolution,coal,appaiata,44,1.3355563346763208,0.9721951785218259,1.273082098164145,2.1399978578382854
wikipedia,Protestantism,vocali,vocali,24879,1.102311285894896,0.9863918625916369,1.0507032852461329,0.49020993587114814
wikipedia,Protestantism,spazio,spazio,11773,1.3439752187770777,0.9243224065120389,0.9857346521337016,0.5204497641154208
wikipedia,Protestantism,e,lettera,7779,1.2026123953532704,0.9784279755113814,1.0264512325312547,0.8303390387127746
wikipedia,Protestantism,t,lettera,6263,1.1383118681269957,1.002303665184166,0.9586398962777846,0.8288638058680583
wikipedia,Protestantism,i,lettera,5458,1.15980263497897,0.9718775921159931,0.9527436110967961,0.8841117653140675
wikipedia,Protestantism,a,lettera,5350,1.2206895352368639,0.9973246528817841,0.9327833357918535,0.8181356333471487
wikipedia,Protestantism,n,lettera,5137,1.274375670509089,0.9666767834554174,0.9129901814844069,0.8453205178667017
wikipedia,Protestantism,o,lettera,4697,1.1613657521615408,0.958304695136034,0.9763559490360206,0.8810201825711009
wikipedia,Protestantism,r,lettera,4366,1.1518746586689854,1.0240199102155734,0.9969067162370432,0.8444322240818423
wikipedia,Protestantism,s,lettera,4296,1.2060261211017678,0.9540870953137541,1.0114487986628091,0.9191540964335081
wikipedia,Protestantism,h,lettera,3603,1.1978783472789984,0.9995579651885174,0.950891514970428,0.9252601896288879
wikipedia,Protestantism,l,lettera,2629,1.132709065157718,0.9721889556130296,0.9352889195986842,0.9931073384898549
wikipedia,Protestantism,c,lettera,2561,1.1647831683022973,0.9485569112342075,0.981837821026887,0.9853579913253727
wikipedia,Protestantism,d,lettera,2350,1.0417453851433756,0.9737994860363699,0.9959280532394242,0.9474624876945013
wikipedia,Protestantism,m,lettera,1869,1.3089210625661214,0.9848960418537538,1.0008194054978385,1.0444130620054157
wikipedia,Protestantism,u,lettera,1595,1.141945839451532,0.9134681989812362,0.9275824920600666,0.9303906644547929
wikipedia,Protestantism,f,lettera,1506,1.1851754405276795,1.0242218027006447,1.0081903110647827,1.0205542066660025
wikipedia,Protestantism,p,lettera,1286,1.2723578111411438,0.9309615624046653,1.0443289896607653,1.1309215088185633
wikipedia,Protestantism,g,lettera,1212,1.2529681480530668,0.9694618256426674,1.0369967195251892,1.0390777576545076
wikipedia,Protestantism,y,lettera,873,1.1670414921247707,1.0243838903751386,0.9529140622262947,0.9694162696840026
wikipedia,Protestantism,b,lettera,822,1.259840943745299,1.0164875568528164,0.9648813026555834,1.0025522482484621
wikipedia,Protestantism,the,funzione,1096,1.273773884645021,1.003867027324335,1.0387349261842436,0.9239406623771642
wikipedia,Protestantism,of,funzione,608,1.1402723659138352,0.979793409440698,1.0206053562107098,0.9886426272530919
wikipedia,Protestantism,and,funzione,406,1.0781157312378549,0.9767163436159918,0.9927028388883471,0.8805709776601516
wikipedia,Protestantism,in,funzione,328,1.2101631040640735,1.003221812713939,1.0978171911980352,1.082118582100591
wikipedia,Protestantism,to,funzione,236,1.1795569377231716,1.009083406789993,1.0510834189756155,1.118797228415151
wikipedia,Protestantism,as,funzione,172,1.0607476775998483,0.9592223165766752,0.9545398753904619,0.9502931553130738
wikipedia,Protestantism,church,keyword,125,1.1679323008414437,1.0275854632987234,1.0763405568750235,1.225746891639286
wikipedia,Protestantism,protestant,keyword,85,1.2339950087921294,0.966655427199722,1.1217893968841934,1.1491641696293728
wikipedia,Protestantism,churches,keyword,59,1.2337856937978386,0.994499360042246,1.1384374105432344,1.7031765690353264
wikipedia,Protestantism,reformation,keyword,60,1.1744543920775088,0.9299392094468696,1.2050391330973753,1.404731852419832
wikipedia,Protestantism,movement,keyword,58,1.2687832236498586,1.0064195883209948,1.2303576660714228,1.530671512194396
wikipedia,Protestantism,reformed,keyword,47,1.2094625509241723,0.9583576543706575,1.1676272250044526,1.7659047687010316
wikipedia,Protestantism,catholic,keyword,45,1.182155014816393,0.9286583267778097,1.1431778561346608,1.2658587502698364
wikipedia,Protestantism,that,appaiata,107,1.2240874303554565,0.9813399503881332,1.110810925651492,1.3368553680502113
wikipedia,Protestantism,was,appaiata,75,1.1328510294324459,1.0190297512427409,1.1407455993517697,1.42015848655928
wikipedia,Protestantism,from,appaiata,59,1.075598793559187,0.9563091847913178,1.1438545735855656,1.1935352162408681
wikipedia,Protestantism,which,appaiata,58,1.1449025520642884,0.95440506262524,1.075542547692501,1.1934336706028115
wikipedia,Protestantism,or,appaiata,56,1.103131416693365,0.9900393238781741,1.1101130653751425,1.3602515680357985
wikipedia,Protestantism,were,appaiata,48,1.1614140881502666,0.9641777716239778,1.0864241204149165,1.0740541743816048
wikipedia,Protestantism,their,appaiata,43,1.139056272753283,1.0239737936512154,1.1209913642671459,1.2656909759155628
wikipedia,Sigmund Freud,vocali,vocali,24767,1.2964966122174302,1.015161005571678,1.0625485603948233,0.5255640620765644
wikipedia,Sigmund Freud,spazio,spazio,12303,1.227576268704121,1.008233341742419,0.9560552697664133,0.49851113606651093
wikipedia,Sigmund Freud,e,lettera,7965,1.2298435982994345,0.9440988778222058,0.9148626395700085,0.8241724097649414
wikipedia,Sigmund Freud,t,lettera,5412,1.1519509637399301,1.0070305153573662,0.9869827989109105,0.8959114381729136
wikipedia,Sigmund Freud,i,lettera,5244,1.2467712313284127,0.941762041883447,0.9633774545457795,0.8871922868424795
wikipedia,Sigmund Freud,a,lettera,5022,1.259025367173685,0.9885026816602785,0.9816032032373587,0.8764008390426514
wikipedia,Sigmund Freud,n,lettera,4745,1.1499039697131574,1.0632911750414793,0.997738685410506,0.8747626622925039
wikipedia,Sigmund Freud,s,lettera,4600,1.2888267865071168,1.0004593307279654,1.0008462808085155,0.9342863215041154
wikipedia,Sigmund Freud,o,lettera,4557,1.1526707231438154,0.9701135163790481,0.9150883794932337,0.8818117043368999
wikipedia,Sigmund Freud,r,lettera,4126,1.134224180361675,0.9543728100880604,0.968880015232629,0.866464159333386
wikipedia,Sigmund Freud,h,lettera,3216,1.1953084864585157,0.9847312359177168,0.9263312331292338,0.8436411576468906
wikipedia,Sigmund Freud,d,lettera,2754,1.2040294199475867,0.9510837743158896,1.0066160719559283,0.933922053470639
wikipedia,Sigmund Freud,l,lettera,2470,1.1667917087377995,0.9741401611224604,0.974309913876322,1.0148204241163143
wikipedia,Sigmund Freud,c,lettera,2363,1.2988740177741487,1.0265769853137205,1.0208086271830015,1.0664897986466613
wikipedia,Sigmund Freud,u,lettera,1979,1.0906044438992366,1.0048553945556342,0.9450110216356954,0.8977630319102
wikipedia,Sigmund Freud,f,lettera,1856,1.0915347594238023,0.9912710153880928,1.0488219430898054,0.9232961519047328
wikipedia,Sigmund Freud,p,lettera,1512,1.2289133768576954,1.0257538232871173,1.0863625690075684,1.0159744242852518
wikipedia,Sigmund Freud,m,lettera,1405,1.0294777950105185,0.9722941471322833,0.9862022407752088,1.0274556781202695
wikipedia,Sigmund Freud,y,lettera,1206,1.1808197945793708,0.9983634687253193,1.0105032738796924,1.0882451253789822
wikipedia,Sigmund Freud,g,lettera,1027,1.169741236006995,0.9739326310388176,1.0071118969869313,1.0641837982751423
wikipedia,Sigmund Freud,w,lettera,915,1.238097992702071,0.9512674256637818,1.0626811674268366,1.0047978570983702
wikipedia,Sigmund Freud,the,funzione,817,1.422820981526361,0.991416738913451,1.0235476904777776,1.014477247958686
wikipedia,Sigmund Freud,of,funzione,606,1.1720829802967156,0.9617922196592635,1.0597326801770488,0.9748799596362234
wikipedia,Sigmund Freud,and,funzione,420,1.025962310592747,1.0010213578098628,0.9432040659005446,0.9006927643828199
wikipedia,Sigmund Freud,in,funzione,389,1.1450992881874327,1.0145542749112935,1.0140975171569382,0.9985089118520081
wikipedia,Sigmund Freud,to,funzione,309,1.0932745505753108,0.9950741089209222,1.0181714241566402,0.987215143719843
wikipedia,Sigmund Freud,his,funzione,226,1.1808215713010375,0.9894340808635071,1.0588227529132992,1.2465723906543447
wikipedia,Sigmund Freud,freud,keyword,301,1.1835703499490207,0.9411039520885888,1.0037095622451673,0.9017919920286446
wikipedia,Sigmund Freud,freud's,keyword,99,1.2634080374524002,0.9758915503444904,1.1507272947297642,1.1250707158700208
wikipedia,Sigmund Freud,work,keyword,47,1.194712761377153,0.9556220572923312,1.1680896946045323,1.2094208799846031
wikipedia,Sigmund Freud,psychoanalytic,keyword,41,1.4521573969226378,0.9637387127417266,1.3441345645843785,2.8753879036037864
wikipedia,Sigmund Freud,theory,keyword,37,1.2571297230189733,0.9436470250089499,1.2121124349379737,1.5444658278990875
wikipedia,Sigmund Freud,unconscious,keyword,36,1.3923364666305527,0.9971771199557259,1.2983730278850336,1.8522060081130256
wikipedia,Sigmund Freud,sexual,keyword,29,1.3362246337642139,0.9693385209009436,1.272880192663881,2.033499305896859
wikipedia,Sigmund Freud,was,appaiata,141,1.100330782034294,0.9498784382837172,1.0439709974803584,1.160451857806574
wikipedia,Sigmund Freud,on,appaiata,101,0.9901226681307156,0.9855505867579405,0.967818829769706,0.9073964084389131
wikipedia,Sigmund Freud,is,appaiata,41,1.3261060326349834,0.9823495310625056,1.2464285714271794,2.646758655039165
wikipedia,Sigmund Freud,this,appaiata,41,1.033948802480186,1.0337721906884694,1.041924315571339,1.1211272494672253
wikipedia,Sigmund Freud,its,appaiata,37,1.1757321570296364,1.0756471611978762,1.1667351705684583,1.635150392612771
wikipedia,Sigmund Freud,who,appaiata,37,1.120999194498569,0.9503148432977171,1.0842059276910534,1.3102187077853653
wikipedia,Sigmund Freud,also,appaiata,28,1.0438762299708835,0.968282804105922,1.0450773480455304,1.0797148823647915
wikipedia,Christianity,vocali,vocali,24708,1.2407478118509112,0.9462527537761355,0.9566502452583943,0.5054138300514747
wikipedia,Christianity,spazio,spazio,12019,1.2726352825069775,1.0689131754180021,0.898791114433734,0.495598644318909
wikipedia,Christianity,e,lettera,7318,1.2244581766251263,0.9819937058945616,1.0052002515467875,0.8874155288793231
wikipedia,Christianity,t,lettera,6132,1.219868425420326,1.0203294535703693,0.9328435648946659,0.8168372398519437
wikipedia,Christianity,i,lettera,5795,1.1733723126789364,1.0061956960440852,0.9797580167495937,0.8874682843743172
wikipedia,Christianity,a,lettera,5346,1.2137835090360902,0.9802201120693751,0.9702089450997707,0.8145735366356822
wikipedia,Christianity,n,lettera,5106,1.1862283330565826,1.0136846546770033,0.9564176322227637,0.8441020647307937
wikipedia,Christianity,o,lettera,4572,1.1026532804838807,0.9709769398203784,0.9500516670764153,0.8997453007957452
wikipedia,Christianity,s,lettera,4532,1.1809014220901717,0.9690927025810611,1.0246005339557562,0.9151035196787927
wikipedia,Christianity,r,lettera,4352,1.1100865066655259,0.9486599911680623,0.9468663893344357,0.8212453860682569
wikipedia,Christianity,h,lettera,3793,1.2337596467307717,1.0305570105794137,0.9627900295686178,0.8928531101212219
wikipedia,Christianity,c,lettera,2956,1.3257546875502766,1.0587765522445565,0.9691705899412978,1.0082307469045142
wikipedia,Christianity,l,lettera,2387,1.2269101523235852,0.9701142770824264,0.9878834906346571,1.028278667304104
wikipedia,Christianity,d,lettera,2385,1.1435915261393657,0.9158035983538158,1.0227376484037072,0.8931252167917805
wikipedia,Christianity,u,lettera,1677,1.226952196433448,0.9816798313320122,0.9662042733722803,0.997010659401719
wikipedia,Christianity,m,lettera,1480,1.1977647014099437,0.9446344084484708,0.9929648405229882,0.9892287479317978
wikipedia,Christianity,f,lettera,1331,1.1488984043375867,0.9708662877611403,1.0283204277943792,0.9754959055705305
wikipedia,Christianity,p,lettera,1203,1.1407963848551634,0.918729276694133,0.9554696237443246,1.1036544428084667
wikipedia,Christianity,g,lettera,1158,1.1490880022103427,1.0215821998843553,0.9769141786392334,1.0117105206156582
wikipedia,Christianity,y,lettera,974,1.1272164515048062,1.0046894113082827,1.0279561519585068,1.0042872432435144
wikipedia,Christianity,w,lettera,788,1.2360835792057545,1.0076944285838156,0.9783385130187927,1.0142909240753455
wikipedia,Christianity,the,funzione,1150,1.223531198185918,0.9446585075127247,0.9920839046187377,0.9596624225028763
wikipedia,Christianity,of,funzione,587,1.1207236723450027,1.0237470414125966,0.9353755915874045,0.8914877685826373
wikipedia,Christianity,and,funzione,509,1.186108720869182,1.0363810707166758,1.0466384186349043,0.90988209155168
wikipedia,Christianity,in,funzione,393,1.1975973922479535,0.960025609310848,1.0256457504150316,1.0474818799609926
wikipedia,Christianity,to,funzione,219,1.1361877894551646,1.0032971966791637,1.1558758537126865,1.2897861068843965
wikipedia,Christianity,as,funzione,143,0.9629659219082876,0.9730847743545498,0.9972491983097065,1.0521014753059528
wikipedia,Christianity,church,keyword,114,1.3281047884629071,0.9700090964057994,1.239166733007533,1.7296881292534656
wikipedia,Christianity,christian,keyword,104,1.0668327029403588,0.9767931493640947,1.0640699363350172,1.1130978766033426
wikipedia,Christianity,christianity,keyword,81,1.2916620167766368,1.0051004886002988,1.210191595587593,1.4962839502575564
wikipedia,Christianity,christians,keyword,74,1.1889532817966766,1.0038818551529622,1.0887216896654637,1.1386558003416452
wikipedia,Christianity,catholic,keyword,62,1.32240066754235,0.9315712870763183,1.263945872789234,1.899432957730877
wikipedia,Christianity,jesus,keyword,59,1.5214774405739595,0.993605296573287,1.3754439573212711,2.26838455134394
wikipedia,Christianity,churches,keyword,58,1.2528560543455962,0.9681893007093088,1.1675341577508227,1.5804751322156938
wikipedia,Christianity,that,appaiata,105,1.226401042645999,0.9708356715653519,1.1426692250967354,1.51420472824922
wikipedia,Christianity,are,appaiata,87,1.1707277126144982,0.9948534544506504,1.1139532488901416,1.8569407704186411
wikipedia,Christianity,by,appaiata,86,1.1415159026526311,0.9315558993233714,1.1078222530067572,1.0546078764904883
wikipedia,Christianity,with,appaiata,66,0.9844731058486393,1.0156526500729661,0.9407223352452015,0.9649930446872994
wikipedia,Christianity,from,appaiata,62,1.1033389656898847,0.9918365804611385,1.0902645818724859,1.3124837109124199
wikipedia,Christianity,which,appaiata,58,1.1499913209765986,0.9331502055157409,1.0915126461494515,1.3207156110550637
wikipedia,Christianity,was,appaiata,55,1.1674731508066132,0.9572451410357866,1.1587718508957872,1.7608266859668853
wikipedia,Judaism,vocali,vocali,24606,1.5047110393801637,0.9418663432936466,1.002104403720219,0.5524280388277824
wikipedia,Judaism,spazio,spazio,12301,1.3574616895829128,0.9959580363701823,1.0372641414913581,0.500509569444477
wikipedia,Judaism,e,lettera,7519,1.2881390916615199,0.9878792831439968,0.9937633783284472,0.8719220741808881
wikipedia,Judaism,a,lettera,5518,1.0863923005591911,0.9768511324788732,0.9422716754543647,0.8660496931614078
wikipedia,Judaism,t,lettera,5431,1.1486526072799172,0.972603965737011,1.0296491537421542,0.9040386296225033
wikipedia,Judaism,i,lettera,5254,1.3073055844096628,0.9941492079503581,0.9971562201432782,0.9001806954093499
wikipedia,Judaism,o,lettera,4780,1.1063261870114849,0.9993166490472336,0.964454554252857,0.8973071956387398
wikipedia,Judaism,s,lettera,4400,1.1133229979318577,1.0252156171363636,1.0035708583792757,0.9009549097582009
wikipedia,Judaism,n,lettera,4340,1.1810898847092561,0.9950665941079381,0.9792011021141959,0.8876913728856396
wikipedia,Judaism,r,lettera,4160,1.2707440894724453,1.0312450831327022,0.9835943927151365,0.8319588789285335
wikipedia,Judaism,h,lettera,3464,1.2021656798783396,0.9443109459944011,0.9752141668169146,0.9290724778771828
wikipedia,Judaism,d,lettera,2522,1.2261810327026492,0.9956331848095253,0.9837889706436034,0.9255344533672603
wikipedia,Judaism,l,lettera,2513,1.0164476132720155,0.9909110845656585,1.0567881636433891,1.0092805164344696
wikipedia,Judaism,c,lettera,2009,1.0878460515167554,0.9088008935521091,0.9980051761476831,0.9707542589979443
wikipedia,Judaism,m,lettera,1845,1.1459428196728814,1.0094380892511545,0.9734865191332066,1.0359559716988902
wikipedia,Judaism,u,lettera,1535,1.157124040405423,0.9913789257989473,0.9686145767538955,0.9417636510435864
wikipedia,Judaism,f,lettera,1230,1.1243345427781133,1.0074515473629204,1.037938500843367,0.9903948813443264
wikipedia,Judaism,g,lettera,1123,1.233274421477104,0.9456086141339494,1.0441091547627337,1.1127899409003301
wikipedia,Judaism,p,lettera,1076,1.143425455068509,1.0485940836251857,1.0063071834699369,1.1291378083943981
wikipedia,Judaism,w,lettera,1053,1.27206035305933,0.9917237657159004,0.9790688662710668,1.0168651767677506
wikipedia,Judaism,b,lettera,1052,1.0805840308386485,1.0151723038791167,0.9664742265176152,1.1504651345816168
wikipedia,Judaism,the,funzione,1035,1.3370553460622094,0.9741228783436373,0.9985617428013405,1.0784930834903834
wikipedia,Judaism,of,funzione,567,1.1358241598012728,0.9730168924927733,1.0749079537374346,1.0365614691076974
wikipedia,Judaism,and,funzione,457,1.1135072167433144,0.9957791794075913,0.9984180055602222,0.9268949010592024
wikipedia,Judaism,in,funzione,290,1.0799389108756547,1.0027888449298155,1.0470181918857409,1.093215212121771
wikipedia,Judaism,to,funzione,248,1.0254064967297862,1.0172873191918077,0.9883540617883447,0.9516039976335289
wikipedia,Judaism,is,funzione,207,1.1206103464268726,0.9284271787875564,1.0290729266187781,1.0779819524934284
wikipedia,Judaism,jewish,keyword,161,1.2869301911448492,0.968899547121918,1.1235023247815958,1.2804859887113986
wikipedia,Judaism,judaism,keyword,124,1.4608264483962838,0.904305629521731,1.3623179866821793,2.1646113757435126
wikipedia,Judaism,jews,keyword,85,1.2177704914480112,0.9275945864416251,1.1477646201115965,1.3470205675575022
wikipedia,Judaism,torah,keyword,78,1.1705285560800691,1.0224207621608243,1.1407646492381536,1.4985844114174809
wikipedia,Judaism,religious,keyword,46,1.1238324987385429,1.0443501388812566,1.0633481975599326,1.625512711664819
wikipedia,Judaism,hebrew,keyword,40,1.0709661959231833,1.0685642913647142,1.0261138436777035,1.1206664842099903
wikipedia,Judaism,orthodox,keyword,44,1.290648536393718,0.9686622576919106,1.229602404744582,1.9061694516482368
wikipedia,Judaism,as,appaiata,141,1.063311435002013,0.9727931272890485,1.0106267221136742,1.072874498982527
wikipedia,Judaism,are,appaiata,122,1.1819032591583147,0.9741413427203202,1.1823035657841094,1.2802788082092185
wikipedia,Judaism,for,appaiata,80,1.1972078753809978,1.0357430350073695,1.1498045091914257,1.636497630911231
wikipedia,Judaism,on,appaiata,75,1.1904987476028808,0.987844988447273,1.127353667323433,1.2617734983167526
wikipedia,Judaism,some,appaiata,40,1.238700849233071,0.9937085822225526,1.1225846291461148,1.3828553074930248
wikipedia,Judaism,an,appaiata,39,1.1083824788085526,1.0062846157472942,1.0671708107965736,1.0478760206093563
wikipedia,Judaism,but,appaiata,38,1.1172745676357267,0.9458260567972897,1.1295572315746534,1.3373759531577878
wikipedia,Roman Empire,vocali,vocali,25434,1.1038600414934399,1.038711866060615,1.019751273998561,0.4883687864108796
wikipedia,Roman Empire,spazio,spazio,12167,1.1866461446006247,0.8957148016082551,0.9447471608074162,0.4770165113565835
wikipedia,Roman Empire,e,lettera,8050,1.1491147770640362,1.012695483462806,1.0408388379754658,0.8369831448464575
wikipedia,Roman Empire,a,lettera,5642,1.197422887339151,0.9790869055659157,1.00629909757429,0.8259048520900278
wikipedia,Roman Empire,t,lettera,5563,1.1204260734246025,0.9955745462672271,0.9560682168729217,0.8344831506394282
wikipedia,Roman Empire,i,lettera,5154,1.165629367274203,0.9616657424015517,0.9040446796354745,0.9099278794178004
wikipedia,Roman Empire,r,lettera,4718,1.136345012704463,0.9739405471780703,0.9909959724511216,0.8390532076706706
wikipedia,Roman Empire,n,lettera,4684,1.1298604203736053,0.9920688023741059,0.9895371577440478,0.8538992665094298
wikipedia,Roman Empire,o,lettera,4565,1.1142274420739682,0.9863305698691951,0.9916433256650031,0.8869175230459672
wikipedia,Roman Empire,s,lettera,4142,1.2051377934765308,0.9659847378037926,0.9614314211831104,0.9104506004034596
wikipedia,Roman Empire,l,lettera,2849,1.2130393924643808,0.9918895829405442,0.974879866762932,0.968806114782005
wikipedia,Roman Empire,d,lettera,2664,1.1659129881217516,1.004246203824047,0.9596782027668214,0.9329805137572998
wikipedia,Roman Empire,h,lettera,2513,1.237247890778232,0.9796031619245343,1.0446227012162301,0.9694474862089987
wikipedia,Roman Empire,c,lettera,2356,1.17263402328195,0.9820809714511904,0.9741256785141047,0.9292670978168857
wikipedia,Roman Empire,u,lettera,2023,1.0834156553343177,1.0493326043249358,1.0018803807206884,0.9885711823145702
wikipedia,Roman Empire,m,lettera,1931,1.0104052927745886,0.943578385731898,1.009155085978488,0.945351430348251
wikipedia,Roman Empire,p,lettera,1544,1.1338486312594704,0.9949083174404502,1.0143314434962551,1.034599045451284
wikipedia,Roman Empire,f,lettera,1339,1.1395721257738785,0.934652280968543,1.0000802816722472,0.9794994244340265
wikipedia,Roman Empire,g,lettera,1292,1.2027354029508968,0.9615946797277992,1.1075233039900896,1.031149005153031
wikipedia,Roman Empire,w,lettera,947,1.1935106661379529,0.949061537783666,0.9855997045764582,1.0192209033221435
wikipedia,Roman Empire,y,lettera,946,1.1451250607628523,1.0205560312184687,0.9429322200114271,0.9708619248668363
wikipedia,Roman Empire,the,funzione,952,1.3418382977462,0.9395547841596024,1.0688973389858611,1.036519111982516
wikipedia,Roman Empire,of,funzione,479,1.017235129519601,0.9642071729485276,1.0364329119211118,0.9516544052355616
wikipedia,Roman Empire,and,funzione,463,1.057389604631478,1.0142677183711546,1.009377776157786,0.8635763850862584
wikipedia,Roman Empire,in,funzione,297,0.9623859156477101,1.0022628858269493,0.9904827684216153,0.9101054402235396
wikipedia,Roman Empire,to,funzione,261,1.145321431337342,0.9733065523065489,1.0266306781720462,1.109075839677887
wikipedia,Roman Empire,was,funzione,173,1.080896065231884,0.9267436424151069,1.1052716102879145,1.1396330910576826
wikipedia,Roman Empire,roman,keyword,128,1.2245640069937054,1.034373827443513,1.1209671200967313,1.1872249678822526
wikipedia,Roman Empire,empire,keyword,93,1.3817828311522824,1.0309505907261727,1.2492390565596108,1.5575000573219926
wikipedia,Roman Empire,rome,keyword,46,1.118571774569257,1.0010948935126456,1.093552471808237,1.4490154514497011
wikipedia,Roman Empire,slaves,keyword,36,1.6132345484684478,0.976060351832804,1.3940606870436125,2.065714866174724
wikipedia,Roman Empire,century,keyword,35,1.0804581527019979,0.9938703857218728,1.0457794733453913,1.097794059584596
wikipedia,Roman Empire,military,keyword,30,1.21914782277025,0.9609116522261895,1.157914447070984,1.2520056651441458
wikipedia,Roman Empire,imperial,keyword,29,0.9766734558643231,0.9832049703373539,0.987979093820513,1.0663626094751184
wikipedia,Roman Empire,as,appaiata,134,0.9296856209246671,0.9910912224880732,0.953027766389655,0.9224721026133478
wikipedia,Roman Empire,for,appaiata,85,1.0718030125932343,1.0165553871544375,1.0354675401997377,1.052070964325671
wikipedia,Roman Empire,at,appaiata,42,1.076093757204488,0.9600761749473866,1.0662670495535969,1.1271740412509015
wikipedia,Roman Empire,most,appaiata,36,0.9947023312649493,1.0417649539036764,1.0353428883125162,1.2926881246527884
